Timestamp,Year,Month,Day,Hour,PM2.5
23-04-2019 01:00,2019,4,23,1,49.42
23-04-2019 02:00,2019,4,23,2,42.67
23-04-2019 03:00,2019,4,23,3,42.42
23-04-2019 04:00,2019,4,23,4,43.91
23-04-2019 05:00,2019,4,23,5,44.45
23-04-2019 06:00,2019,4,23,6,35.25
23-04-2019 07:00,2019,4,23,7,50.17
23-04-2019 08:00,2019,4,23,8,55
23-04-2019 09:00,2019,4,23,9,55.22
23-04-2019 10:00,2019,4,23,10,55.03
23-04-2019 11:00,2019,4,23,11,51.01
23-04-2019 12:00,2019,4,23,12,38.45
23-04-2019 13:00,2019,4,23,13,38.51
23-04-2019 14:00,2019,4,23,14,38.43
23-04-2019 15:00,2019,4,23,15,34.72
23-04-2019 16:00,2019,4,23,16,34.33
23-04-2019 17:00,2019,4,23,17,34.89
23-04-2019 18:00,2019,4,23,18,34.56
23-04-2019 19:00,2019,4,23,19,35.69
23-04-2019 20:00,2019,4,23,20,39.09
23-04-2019 21:00,2019,4,23,21,50.12
23-04-2019 22:00,2019,4,23,22,51.09
23-04-2019 23:00,2019,4,23,23,49.93
24-04-2019 00:00,2019,4,24,0,56.24
24-04-2019 01:00,2019,4,24,1,57.06
24-04-2019 02:00,2019,4,24,2,57.91
24-04-2019 03:00,2019,4,24,3,48.93
24-04-2019 04:00,2019,4,24,4,41.14
24-04-2019 05:00,2019,4,24,5,37.72
24-04-2019 06:00,2019,4,24,6,38.14
24-04-2019 07:00,2019,4,24,7,36.86
24-04-2019 08:00,2019,4,24,8,40.68
24-04-2019 09:00,2019,4,24,9,51.95
24-04-2019 10:00,2019,4,24,10,52.24
24-04-2019 11:00,2019,4,24,11,52.34
24-04-2019 12:00,2019,4,24,12,52
24-04-2019 13:00,2019,4,24,13,47.56
24-04-2019 14:00,2019,4,24,14,38.56
24-04-2019 15:00,2019,4,24,15,41.17
24-04-2019 16:00,2019,4,24,16,43.28
24-04-2019 17:00,2019,4,24,17,37.43
24-04-2019 18:00,2019,4,24,18,36.35
24-04-2019 19:00,2019,4,24,19,37.27
24-04-2019 20:00,2019,4,24,20,41.34
24-04-2019 21:00,2019,4,24,21,42.08
24-04-2019 22:00,2019,4,24,22,51.81
24-04-2019 23:00,2019,4,24,23,61.21
25-04-2019 00:00,2019,4,25,0,55.43
25-04-2019 01:00,2019,4,25,1,55.58
25-04-2019 02:00,2019,4,25,2,56.97
25-04-2019 03:00,2019,4,25,3,57.07
25-04-2019 04:00,2019,4,25,4,56.77
25-04-2019 05:00,2019,4,25,5,44.72
25-04-2019 06:00,2019,4,25,6,45.95
25-04-2019 07:00,2019,4,25,7,45.71
25-04-2019 08:00,2019,4,25,8,44.91
25-04-2019 09:00,2019,4,25,9,53.59
25-04-2019 10:00,2019,4,25,10,55.51
25-04-2019 11:00,2019,4,25,11,57.01
25-04-2019 12:00,2019,4,25,12,56.65
25-04-2019 13:00,2019,4,25,13,43.23
25-04-2019 14:00,2019,4,25,14,32.27
25-04-2019 15:00,2019,4,25,15,38.44
25-04-2019 16:00,2019,4,25,16,38.88
25-04-2019 17:00,2019,4,25,17,40.85
25-04-2019 18:00,2019,4,25,18,39.55
25-04-2019 19:00,2019,4,25,19,46.19
25-04-2019 20:00,2019,4,25,20,43.56
